"Zeitstempel","Welches Kinderlied war der Soundtrack deiner Kindheit (<10 Jahre) ? ","Zu welcher Uhrzeit bist du aus dem Ei geschlüpft?","Welche Farbe ist objektiv die beste? ","1. Gegenstand","2. Gegenstand","3. Gegenstand","4. Gegenstand","5. Gegenstand","1. Wurf","2. Wurf","3. Wurf","4. Wurf","5. Wurf","1. Person","2. Person","3. Person","4. Person ","5. Person ","Team süß oder Team salzig? ","Lieber Sommer oder Winter?","Früher Vogel oder bedachte Nachteule?","Unter Hallendach oder unter freiem Himmel? ","Lieber sauberer Spielplan oder kontrolliertes Durcheinander?","Bist du Team ""vernünftig aufwärmen"" oder Team „der erste Sprint regelt das schon“? "
"2026/03/20 10:26:03 PM MEZ","Hannah Montana Intro / Zauberer von Wawerlyplace oder so ","5:30","Blau","Haircare ","Melatonin ","Kleine Tasche für Wertsachen ","Adiletten ","","Upside down","Chicken wing ","Push pass ","","","Zwiebii","Nelly ","Bärchen ","Klatschi","","Salzig","Sommer","LangschläferIn","Outdoor","Strategie","Aufwärmen"
"2026/03/20 10:33:52 PM MEZ","Kika Tanzalarm ","04:37","Lila","Duschsachen ","Deo","Scheibe ","Gute Schuhe ","Wasser ","Overhead","Vorhand ","Knife","","","Höppi ","Blumi ","","","","Salzig","Sommer","LangschläferIn","Outdoor","Strategie","Aufwärmen"
"2026/03/20 10:48:53 PM MEZ","La Le Lu","20:15 (Prime Time)","Gold","Rolldeo","Badeschlappen","Haargel","Stollenschuhe","Trikotsatz","Chicken-Wing","Thumber","Tiki-Trickshot","","","Joga Benita","Pauline","Dr. E.","","","Salzig","Sommer","LangschläferIn","Outdoor","Strategie","Aufwärmen"
"2026/03/21 3:46:02 PM MEZ","Monsta - Culcha Candela (Lieblingslied in der Grundschule)","2:10","Blau","Birkenstocks","Sonnencreme","Tampons","Powerbank","Decke","High release","Push pass","Boumce","","","Flauschi","Sneaky","Scoobi","Blumi","Gimli","Salzig","Sommer","FrühaufsteherIn","Outdoor","Strategie","Direkt losspielen"
"2026/03/22 6:57:36 PM MEZ","""Was fängt ne Hexe mit nem Besen an"" Lied aus Bibi Blocksberg und das Geheimnis der blauen Eulen","18.08 (muss nochmal nachfragen)","Blau","Schnelle Brille","Badeschlappen","Desinfektionsmittel in allen Ausführungen ","Snacks","Mehr Snacks","Chickenwing","Vorhand","Rückhand","Overhead","Knife","Dom","","","","","Süß","Winter","LangschläferIn","Outdoor","Strategie","Aufwärmen"
"2026/03/23 8:40:00 AM MEZ","Superhelden - Apollo 3","10 Uhr morgens ","Blauu ","Campingstuhl","Gute Laune","Zelt für Manù","Badelatschen ","","Lefty Hammer ","Scoober ","Chicken wing ","","","Jedi","Megatron","","","","Salzig","Sommer","LangschläferIn","Indoor","Strategie","Aufwärmen"
"2026/03/23 10:47:47 AM MEZ","Laudato Si (Kirchenlied)","9:30","Grün, tannengrün! Keine Widerrede!!!!!!!!","Müsliriegel","Wasserflache","Bananas","Sonnencreme","Eintracht Scheibe","Chicken Wing","Beidhändig","Einfingrig","","","Höppi","Blumi","","","","Süß","Sommer","FrühaufsteherIn","Outdoor","Strategie","Aufwärmen"
"2026/03/23 4:36:14 PM MEZ","The Ketchup Song","01:01","Pink","Ohrstöpsel","Schlafmaske","Quetschies","","","Thumber","Lefty","Hammer","","","Gimli","Blumi","Scooby","Flauschi","","Süß","Sommer","LangschläferIn","Outdoor","Strategie","Aufwärmen"
"2026/03/23 6:20:09 PM MEZ","Sex Bomb - Tom Jones","13:30","Orange","Allergiemedikamente ","Taschentücher","Tape","Handcreme und/oder Handschuhe","","Vorhand Around mit Strömungsabriss zu Inside","Inside Thumber","Backhand knife","","","Flauschi","Höppi","","","","Salzig","Sommer","LangschläferIn","Outdoor","Strategie","Direkt losspielen"
"2026/03/24 9:56:20 AM MEZ","I want it that way-back street boys","Habe meine Geburtsurkunde nicht dabei ","Alle Farben ","Socken","Ohropax","Unterhose","Schuhe","","Vorhand","Rückhand","Hammer","Davids Chickenwing","","Scoobi","Gimli?","","","","Salzig","Sommer","FrühaufsteherIn","Outdoor","Chaos","Direkt losspielen"